word,count,sentiment
like,577,-1
taste,518,-1
seaweed,419,-1
product,386,-1
flavor,379,-1
would,346,-1
good,260,-1
one,257,-1
snacks,218,-1
snack,212,-1
try,205,-1
really,170,-1
get,161,-1
tried,160,-1
buy,159,-1
eat,157,-1
love,156,-1
i'm,148,-1
salty,147,-1
chips,145,-1
salt,134,-1
much,130,-1
great,128,-1
bag,127,-1
little,114,-1
tasted,113,-1
box,112,-1
thought,109,-1
wasabi,108,-1
lead,108,-1
texture,107,-1
got,106,-1
could,106,-1
sea,103,-1
better,98,-1
fishy,97,-1
first,91,-1
think,91,-1
received,91,-1
crackers,90,-1
seaweed,1676,1
snack,1569,1
good,1317,1
love,1253,1
great,1245,1
flavor,1154,1
snacks,1038,1
like,1034,1
taste,873,1
would,678,1
delicious,664,1
try,656,1
really,630,1
healthy,586,1
tried,574,1
salt,561,1
product,551,1
flavors,494,1
eat,482,1
one,481,1
buy,466,1
sea,439,1
salty,430,1
tasty,426,1
definitely,424,1
loved,413,1
little,393,1
get,383,1
chips,366,1
rice,357,1
perfect,351,1
much,331,1
go,322,1
recommend,320,1
halo,316,1
wasabi,309,1
also,292,1
i'm,278,1
eating,272,1
time,265,1