score,title,author,date,comment
3,Organic Seaweed Snacks Review,"Christina K.,",26-Dec-19,"I thought these seaweed snacks were okay; though a little salty for me. i would perhaps purchase another flavor, but not the seasalt again. Besides the saltiness, the seaweed itself tasted interesting. Very unique snack. [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"Katie P.,",02-Mar-20,"This is a high-quality organic products with good ingredients. I liked that it has a little crisp to it, but it is just too chewy for me after the first crisp. If I'm going to have to gnaw on leaves for a while, if rather just eat a salad. I tried the sea salt, so maybe the other options would have a little more flavor that would make a difference. [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"Cheyenne S.,",10-Jan-20,it wasnt my thing. the texture my mouth didnt care for . I didnt care for the flavors. My children didnt care for them eaither. The producta didnt smell good............................................................................................................................................ [This review was collected as part of a promotion.]
1,Organic Seaweed Snacks Review,"Megan M.,",16-Dec-19,"Well....I was very excited to try some of these products because I LOVE Asian food. Today I purchased the seaweed snacks and the ramen bowl. I was very eager to try it so I ripped it open as soon as I got into the car and put a piece into my mouth......And then I almost threw up immediately. I hate to sound dramatic but it's true. I'm not 100% sure if it was a texture thing or an actual taste thing but it was awful!! It took EVERYTHING in my power to not throw up in my car. I had to dig in my center console for a piece of gum to help get the taste out of my mouth. I am still looking forward to trying other products in this line, but the seaweed snacks are definitely not for me. I also purchased the wasabi flavor but I am TERRIFIED to try it. [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"lorraine S.,",03-Mar-20,These were ok. I am not used to eating something like this. I see myself buying these for special occasions or to add to a meal or something of that nature. Maybe I should try all flavors because I can pair up to other foods options easier? [This review was collected as part of a promotion.]
3,Organic Seaweed Snacks Review,"Nicolette W.,",22-Dec-19,"I normally purchase another brand of seaweed snacks and was very open to trying another brand. I tried the sea salt kind since that is the kind I get when I but the other brand I normally eat. I found Halo's Ocean to be too salty for my liking and I could not even eat an entire pack. They had the same overall flavor, but extremely salty. I would only get them if I had a coupon or they are out of my normal brand, even though they are cheaper. [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"Dawn A.,",03-Feb-20,okay i tried these and i thought i would like them but i truly didnt like the taste so i let my oldest son try it and he was like oh god no mom i told him it was like a chip and was healthier but he just didnt like the taste either [This review was collected as part of a promotion.]
2,Organic Seaweed Snacks Review,"Hannah W.,",16-Dec-19,"I've never tried seaweed before, so i wasn't really sure what to expect with these snacks. I wasn't a fan, especially of the overwhelming salty fish taste. Someone who likes seaweed tried it though and he liked it! [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"Stefanie P.,",08-Jan-20,Me and my family tried the sea salt flavor of the Organic Seaweed Snacks. It was definitely something different and something we were a bit nervoys to try however it wasnt that bad. It was a bit too salty though. My sons didnt really like them and I dont believe they would be very filling for growing childrwn. I do however think if you are on some sort of weight loss regimen that these snacks may be a good snack to keep around. I woild recommend to friends and family. #trynatural #gotitfree [This review was collected as part of a promotion.]
3,Organic Seaweed Snacks Review,"Jennifer M.,",03-Mar-20,"These were VERY salty. The flavor was good but we couldn't eat more than a few at a time. The seaweed had a great texture, which most of these products do, but man .... I wasn't sure I was going to make it out with both of my kidneys. [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"Fardos K.,",22-Dec-19,It's not a product I would purchase or use again. I didn't care for the flavor or texture. It was an experience but not that I would want to repeat. [This review was collected as part of a promotion.]
3,Organic Seaweed Snacks Review,"Christina D.,",04-Mar-20,I waz happy with the Free Product. The taste waa bland and I couldn't get my kids to try them. Seema a bit on the higher end of pricing as well. [This review was collected as part of a promotion.]
3,Organic Seaweed Snacks Review,"Tracie-Ann D.,",11-Feb-20,It was ok not really my thing I didn't enjoy it but my sister tried it and loved it I think you need to just like the taste and texture of it this product to really enjoy it [This review was collected as part of a promotion.]
3,Organic Seaweed Snacks Review,"georgia S.,",24-Jan-20,Did not like this product did not enjoy the taste there was also too much sodium in this product. It's just not something that I would purchase [This review was collected as part of a promotion.]
1,Organic Seaweed Snacks Review,"Ashley F.,",24-Jan-20,I wasn't a big fan I really didnt like the flavor at all. I also don't like sea weed so that could also be the problem if you like seaweed you might actually like this [This review was collected as part of a promotion.]
1,Organic Seaweed Snacks Review,"Brenda B.,",19-Jan-20,I did not like the taste and the texture of the Seaweed snacks. It tasted fishy. I have liked the other Oceans Halo products that I have tried [This review was collected as part of a promotion.]
3,Organic Seaweed Snacks Review,"Carol B.,",10-Jan-20,I liked how the product tasted. The variety and flavors of the products are great! I will most likely try the other variety of products available. [This review was collected as part of a promotion.]
2,Organic Seaweed Snacks Review,"Patricia D.,",21-Feb-20,"I did not enjoy the taste or texture of this product so I do not recommend this product. It is on the pricy side also, and kind of hard to find in the store [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"Wen L.,",01-Feb-20,"I thought flavor-wise it was pretty average. I like how it's organic, but it could have had more in terms of flavor. Cost isn't too bad, but I'm not sure if I would buy them on my own time. [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"larissa H.,",11-Dec-19,I tried the sea salt flavor and it tasted very similar to tortilla chips. I'm not sure why but I expected it to be sweeter. I also didn't like the after taste which is kinda like dirt. [This review was collected as part of a promotion.]
3,Organic Seaweed Snacks Review,"Mya T.,",20-Jan-20,The Thai coconut milk curry was my favorite. It was easy and quick to make. It taste just like the restaurant. I didn't like the ramen noodle beowl. it was too dry for my taste. [This review was collected as part of a promotion.]
2,Organic Seaweed Snacks Review,"michael L.,",22-Jan-20,"It has a good crunch, not too salty with enough wasabi flavor. It was good as a snack it self or on top of rice. Good flavor. Going to try different one [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"Kasidy R.,",13-Jan-20,I tried it just like it came and it was good but not something I could eat all the time. Others might love it so much that they eat it everyday or even put it in their cooking. Just have to try it. [This review was collected as part of a promotion.]
3,Organic Seaweed Snacks Review,"Staci B.,",17-Jan-20,"I tried the bbq flavor it was ok. I didn't care for the texture however, I liked the crispness and crunch of the product but I don't think i would replace for a fresh vegetable not a huge fan sorry [This review was collected as part of a promotion.]"
2,Organic Seaweed Snacks Review,"Katharine W.,",03-Mar-20,I tried the pho soup kit. It was incredibly salty and kind of bland. I make better pho broth than this and would not buy it as a quick meal. I would rather make my own from scratch or go out. [This review was collected as part of a promotion.]
1,Organic Seaweed Snacks Review,"Patricia C.,",30-Jan-20,"They were nasty. After the first crunch they turned slimy and tasted like fish. I was not a fan of those and neither was my son, and he likes sushi. [This review was collected as part of a promotion.]"
2,Organic Seaweed Snacks Review,"Vanessa M.,",14-Nov-19,So ill personally never buy this product again the after taste was horrible it went down easy. But not something I'd recommend to anyone the only reason i gave it 2 stars was because it looks nice. Just doesn't taste good at all. [This review was collected as part of a promotion.]
3,Organic Seaweed Snacks Review,"Ashlie H.,",08-Dec-19,I thought the Ocean's Halo seaweed snack was okay. To me it tasted like greens but a lot more salty. It is a lot thinner that I thought it would be. It's a good snack but it's just not for me. I could eat it on occasion but it wouldn't be my first choice. I think it's an acquired taste. It would be a nice healthy snack for someone who loves seaweed. [This review was collected as part of a promotion.]
3,Organic Seaweed Snacks Review,"AnneMarie D.,",26-Nov-19,A little salty as a snack.I think they would be best on top of soup.I would make a tofu or miso soup and crumble the sheet on top.I had trouble locating tofu so it took me a while to make the soup I also use the broth and think it would be best with oriental vegetables.trynatural# [This review was collected as part of a promotion.]
1,Gross,"Mace,",01-Jul-20,"this tastes like lakewater, like you just swallowed a lakewater."
3,Organic Seaweed Snacks Review,"Jolyn W.,",07-Dec-19,"These snacks were not a favorite for me. The taste was ok, but nothing I would go out of my way to buy. The sea salt flavor was amazing, but the texture sort of threw me off. [This review was collected as part of a promotion.]"
1,Organic Seaweed Snacks Review,"Tara F.,",18-Nov-19,"I bought these because I got the coupons. My family had never tried them. Turned out they didnt like them. But,it was worth it to try them. Y ok u never know. [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"Sarah G.,",07-Nov-18,These Ocean Halos Organic Seaweed Snacks were alright for a snack. The texture was a little weird for me along with the taste. I guess it is something i would have to get used to as a healthy snack alternative. I picked up Korean BBQ and i wish their was more flavor with these snacks.
2,Organic Seaweed Snacks Review,"Meagan B.,",24-Nov-18,I am already not a fan if seaweed but Love sushi so I was excited to give this a try. I got the bacon flavor. The flavor was ok but the sheets could have been in smaller size where you just pick and eat. After 2 pieces I threw this product away because the fishy taste was so bad I could not take it anymore and this is coming from someone who is not a picky eater all and loves fish as well.
3,Organic Seaweed Snacks Review,"Carline O.,",29-Oct-18,"The chili lime seaweed snacks were definitely a first for me. I didn't quite know what to expect. It has an interesting flavor to it, but not in a bad way. I liked trying it out, but I think I would have to eat a few more to get accustomed to the flavor."
3,Organic Seaweed Snacks Review,"Tracy W.,",28-Nov-18,"I was given an opportunity to try Organic Seaweed Snacks through Social Nature in exchange for my honest review. I haven't tried many of the organic products on the market. The snacks were not too bad. I tried the Sea Salt flavor. It had a nice, salty taste but not too salty. The texture was a little bit of a problem for me. I felt like I was eating seaweed lol. But that could of been all in my head. I'm particular about texture so it may not be a problem for others. The seaweed is ocean-farmed and I liked that it is sustainable and that the company cares about that."
1,Organic Seaweed Snacks Review,"Heather F.,",25-Nov-18,"I didn't really enjoy these. I got the sea salt variety but the overall flavor just wasn't for me. It left a weird after taste. I didn't enjoy the texture either. I'm looking forward to trying other products from this brand, however. This one just wasn't for me. #GotItFree"
1,Organic Seaweed Snacks Review,"Kat G.,",25-Nov-18,I was intrigued when i opened the package. Ive has sushi before so i knew I liked seaweed. I thought i would like the crunchy texture and i did. But I didnt like the flavor at all. I had the seaweed one and it just tasted like sour salty green stuff. I wouldn't buy it again. I just didn't care for the flavor.
1,Organic Seaweed Snacks Review,"nic S.,",15-Nov-18,I received this product via Free coupon in exchange for my honest review from social nature. While I was very excited to try this product I wasn't very pleased with its taste. I choose the sea salt flavor because I thought it was safe. I am not a huge sea food fan; in fact most sea food makes me sick to my stomach. This smelled salty and tasted like salted algae(sp). I actually had to run to the trash can after kinda chewing it because I almost threw up in my mouth. If you like fish or shrimp you'll probably like this but its not for me. I'd still like to give some of their other products a try but I will never touch seaweed again. LOL
2,Organic Seaweed Snacks Review,"Ruthelle L.,",13-Jan-19,"I got the sea salt organic seaweed snacks. The seaweed sheets are very thin. I tried one by just eating it by itself. I was not very fond of the taste or aftertaste. So I decided to give it another try and had some with white rice. This taste was much better when I had it wrapped around the rice. However, the aftertaste still wasn't pleasant for me. So sadly I wouldn't purchase this specific product again because I didn't like the lingering aftertaste."
1,Organic Seaweed Snacks Review,"Karen M.,",11-Nov-18,"I tried the Ocean's Halo Organic Seaweed Snacks Sea Salt flavor and was not impressed. First, they are see- through thin and they're a size that is too big to fit the whole sheet in your mouth, but when you try to just bite a piece off or fold it in half they break and crumble. And I'm not a fan of seafood at all so maybe that's why I didn't like the taste or smell. Maybe a stronger flavor like wasabi or sriracha would mask the sea smell better and make them more edible to me."
1,Organic Seaweed Snacks Review,"Samantha G.,",28-Jan-19,"I was absolutely not the audience for these seaweed things. I put one in my mouth and it got stuck to my tongue like a Listerine strip and I couldn't get it out. It was gross. I gave my remaining product to a co-worker who LOVES them. More for her! Thanks for the sample, though!"
1,Organic Seaweed Snacks Review,"Alexa J.,",06-Dec-18,"Personally, I did not care for Ocean's Halo Seaweed Snacks. I tried sea salt flavor. I thought they would be more like crisps, however they are more paper-like. They also had a bit of a fishy undertone, which makes sense since they are seaweed but I didn't expect it. I would not buy this product again, but I may recommend it to someone who likes this type of food."
3,Organic Seaweed Snacks Review,"Mellisa S.,",31-Oct-18,"The seaweed snacks we're okay. Not my typical snack but I would eat it again, my kids didn't like the flavor I chose. I made ramen with the noodles and broth, my kids loved it! It wasn't too mush and had a great flavor. Overall I will purchase these products again in the future."
2,Organic Seaweed Snacks Review,"Stephanie H.,",22-Jan-19,"i have never tried anything with seaweed in it, so i was a little hesitant on these but excited to try none the less. i really wanted to like these, but i just didn't. maybe if you're already a fan of seaweed, these are the snacks for you. i did like the flavoring to them, but i think it was the seaweed flavor that ruined it for me in the end."
3,Organic Seaweed Snacks Review,"Sara R.,",24-Dec-18,"I enjoy trying new things, so was excited to try this alternative to chips. It has a Very strong taste of seaweed, an ocean fishy taste. The amount of salt was a good ratio on them though. I ate them just by themselves, but I could see using it in a recipe where I would use spinich or kale. Otherwise, I would not eat it just raw."
3,Organic Seaweed Snacks Review,"Danielle H.,",16-Nov-18,"I wasn't sure if I would like these. I don't mind seaweed in sushi or sometimes mixed in with soups and other things. I picked the bacon flavor, which had a nice bacon taste to it. They still had a strong seaweed flavor, which isn't surprising, but they were just a little too much for me. I think these are a great quality and if you like seaweed snacks I think you would like these."
1,Organic Seaweed Snacks Review,"Debbie B.,",29-Oct-18,I just used the Sea Salt Halo organic seaweed snacks to snack on. I didn't care for them just because I'm not used to eating that type of food. I do like the fact they are organic and better for you than regular snacks. I'm sure other people might find them amazing.
3,Organic Seaweed Snacks Review,"Jasmine M.,",29-Oct-18,"I received my coupons from Social Nature to try the Halo seaweed snacks for free. It had a very strong fishy taste. I have eaten seaweed before, I just don't remember it tasting that strong. I still have the buy one get one free coupon which I may try one of the Ramen products."
2,Organic Seaweed Snacks Review,"Tracy D.,",11-Mar-19,It was not a pleasing flavor or texture in my opinion. Perhaps if I had tried an actual flavor & not just sea salt my opinion would be different. I was unable to find the other flavors at the store I went to though so I tried what they had. I will not be purchasing it again.
2,Organic Seaweed Snacks Review,"Brinda V.,",30-Nov-18,I will say that this is definitely an acquired taste. Either you like it or not. I personally thought it was ok but don't think I will be buying any more anytime soon. My daughter on the other hand loves them. She eats them all day. Like I said it's an acquired taste.
3,Organic Seaweed Snacks Review,"Daneilia F.,",06-Dec-18,I'd never tried seaweed before so I was very nervous to try. I'm glad I tried it. It was a very interesting flavor and texture. I can't say that I didn't like it but I can't say I did. Maybe if I got a different flavor I would have enjoyed it more. I plan on buying some of the other flavors to try and see if I like any of those better.
3,Organic Seaweed Snacks Review,"Jessa T.,",07-Jan-19,"I am not the biggest fan of dried seaweed, but I figured I would give this a shot. As predicted, it is very salty (but what seaweed isn't?). The Bacon flavor was not as prevalent as I would have liked, but for a dried seaweed fan, I'm sure this is a perfectly acceptable snack. The price point was very affordable, which was nice. I definitely want to try some of the other Ocean's Halo products."
3,Organic Seaweed Snacks Review,"amanda H.,",31-Oct-18,"We got the ramen bowl kit, and I have to say it just was not our thing. It wasn't inedible, the noodles were great, we just did not like the broth. You can very much tell it is kelp/seaweed based. We would much prefer a chicken/beef base. However for someone who is more in to that seaweed flavor profile in a soup, it would probably be great."
3,Organic Seaweed Snacks Review,"Julianne D.,",04-Nov-18,"The Sushi Nori Sheets are packed with Vitamin B12 and Iodine! Personally, I do not particularly enjoy the taste of seaweed. It is alright, but not something I would buy. If I were to buy seaweed, I think Ocean's Halo is one of the better brands because it is completely natural with no additives. It is very expensive though for the smallness, and the lightness of seaweed."
3,Organic Seaweed Snacks Review,"Jennifer B.,",05-Nov-18,"I tried the Oceans Halo seaweed snacks in sea salt flavor. I did like the overall experience I had with the product, but I wish I could have found the flavors The product was also a bit hard to locate in my area. I hope to try the flavors with my coupons I received in the mail as well. Texas bbq sounds so good!"
3,Organic Seaweed Snacks Review,"Lavonne A.,",08-Jan-19,The only reason I am not giving a higher rating is my store only carried the chili lime flavor. I am not the biggest fan of that one. I prefer the Sea Salt option. This was a good snack. They are easy to toss in your lunch bag for on a salad or just to eat alone. I prefer to use them in salads. The lime flavor comes through on this chili lime one. On the sea salt ones I like the saltiness of them.
3,Organic Seaweed Snacks Review,"Lorraine G.,",15-Nov-18,I thought that it was a good snack. Not the best since it had an after taste. It's good for when you need a quick snack on the go and you're hungry. I would recommend to those who enjoy eating healthy and don't mind the after taste. It is missing something but I'm not exactly sure what that is.
3,Organic Seaweed Snacks Review,"Brooke A.,",27-Nov-18,I'm not a big fan or nori snacks but I do like it in sushi. This wasn't terrible but Inalso didn't love it either. I did like the saltyness and the crunch but I just couldn't get I've the string nori taste. I'm sore if the store I got it from had other flavors it would have been better. I would try another flavor.
2,Organic Seaweed Snacks Review,"Eileen T.,",30-Nov-18,I tried the Sea Salt Halo Seaweed Snacks. I did not like anything about the Seaweed Snacks. They were as thin a piece of paper. At first it just had a strong spinach like taste with salt. Then as you chewed it and it softened up a strong fishy taste emerged. Yuk! I never had any type of fish taste this fishy.
1,BARF!!!,"steve,",28-Jan-19,Don't listen to the others unless you like the taste of rotting fish. I had a tiny bite and almost barfed. My dogs wouldn't eat it at first then they did but they like whitefish dog food so maybe that's why I highly recommend not eating it but pranking friends into eating it.
2,Organic Seaweed Snacks Review,"Delta B.,",25-Nov-18,"I didn't like the texture or the taste that much. I tried other products like this in the past and I know it all natural and organic so I try to make myself like these types of products and I'm just not into it. What I mean by ""these types of products,"" is knowing that I'm actually eating seaweed. I've tried 2 other seaweed organic products sort of like HALO, but I can't get past the fact that its seaweed. I love organic items though, they're my favorite products because I know that there's no chemicals or pesticides and other added substances to make a product better tasting, but in all reality, it's not good for you. I love organic, but I will eat non-organic items as long as I read the ingredients and it's favorable to me. I will literally read every ingredient and the amount of vitamins, minerals, sugars, cholesterol, fats, etc in items that are new to me. I love trying new things, but I have to say I didn't necessarily enjoyed eating this. I didn't use the buy one get one coupons that were sent because I haven't used them yet. I intend to because it looks like there are different HALO products to try other than the seaweed one. I'm just giving my honest feedback, but others might enjoy this product. Thank you for letting me try this for free and the additional coupons that will be used in the future."
3,Organic Seaweed Snacks Review,"Zandra L.,",05-Dec-18,"Wasn't a fan of the Ocean's Halo Organic Seaweed Snacks. I tried the bacon flavor and didn't notice any bacon taste whatsoever. I did like that these are a healthy and very affordable, organic snack alternative, however, I really dislike seafood and these taste very fishy to me, as do most seaweed products. If you enjoy seaweed foods though, I think these may be a great snack for you, but they were a pass for me!"
3,Organic Seaweed Snacks Review,"Randi N.,",26-Nov-18,"I wish I could have tried something other than sea salt because it ended up being too salty for me to enjoy. I figured since I like sushi that the nori snacks would also be as tasty, and perhaps the other flavors are but my store only had the sea salt ones and I wasn't a fan, but my fiance liked them."
1,Organic Seaweed Snacks Review,"Crystal F.,",13-Jan-19,Organic Seaweed Snacks were not for me. I was hoping i would like it so i could include something naturally high in iodine into my diet but unfortunately i couldnt do it. Neither of my kids would eat it either... I have never had seaweed so it isnt the brand it is just the taste of seaweed.
3,Organic Seaweed Snacks Review,"Lisa C.,",15-Nov-18,"I tried the bacon flavor. It tasted like regular seaweed snacks that I've had before with a mild bacon flavor. Not bad, but I looked at the ingredients AFTER I tried it & I found maltodextrin listed. Not what I want to see in what is supposed to be a healthy snack! Next time I try another flavor."
2,Organic Seaweed Snacks Review,"AMBER G.,",29-Nov-18,"I'd never tried anything like this before. I was rather skeptical at first, I didn't know how I'd feel about eating green seaweed lol. But I wanted to try these. I wasn't crazy about the texture, but the flavor wasn't bad. Although I appreciate the opportunity, I doubt I'll be buying these for myself any time soom."
3,Organic Seaweed Snacks Review,"brandy A.,",15-Nov-18,"I thought the product was pretty good but I just couldn't get into it being a food for me on the regular., I did however think that the value of this product was really good and I don't think that people are going to be disappointed if they are into this kind of product.. I will however definitely tell my friends and family about it and let them check it out themselves..."
3,Organic Seaweed Snacks Review,"Kelly K.,",14-Nov-18,I was really hoping to try the bacon flavor but I was only able to find the Sea salt in my local store. And to be honest it was a bit to salty. They might be better if you have them with something else. But they are to salty by themselves. I did like the underlining flavor of the seaweed. I intend to check other stores for the other flavors to try.
3,Organic Seaweed Snacks Review,"Alexis W.,",25-Jan-19,Perhaps I should have have tried a different flavor. I received this product in exchange for my honest review and tried the sea salt flavor. I found the salty flavor a bit too salty and again because it is seaweed perhaps sea salt was not the wisest choice. The texture was good and it was nice and crisp. I may try this product again in the future but I will select a different flavor. #trynatural #gotitfree
1,Organic Seaweed Snacks Review,"karolina P.,",29-Oct-18,I honestly could not find the seaweed snacks in any of the stores located in the flyer. And I even when out of town twice to look for the product and nothing. I ended up with the miso noodle bowl to test out and review and wasnt a fan. It tasted very bland. It was very much tasteless.
2,Organic Seaweed Snacks Review,"Angelle S.,",02-Dec-18,"I love the idea of the brand and the healthy ingredients Ocean Halo uses in their products. However, I personally did not enjoy the Halo seaweed snacks. I shared them with my household, but it was not received well either. I tried the vegan bacon flavor, the texture was interesting, and they sort of melt away in your mouth, but I just did not like the taste at all. They were pretty strong, and I could not get past the first bite. I will try to use them in a Miso soup and see if they will work better to compliment a dish rather than eaten on their own."
1,Organic Seaweed Snacks Review,"Pat P.,",13-Dec-18,"I prepared the Miso Noodle Bowl, the exact way directions stated. Nowhere in the directions did it say when to add the soy. The noodles were not cooked enough at the required time so I cooked longer. The taste was not at all to my liking and i have had Miso soup in restaurants. I couldn't even eat it."
1,Organic Seaweed Snacks Review,"Omaimah G.,",01-Jan-19,"I tried the spicy noodles. The noodles were thick like spaghetti, and I didn't like the flavor of the broth. I was also disappointed by the small package of crushed red pepper ( maybe if it contained a couple of dried Thai peppers, it would have added a little heat)."
3,Organic Seaweed Snacks Review,"heather C.,",06-Dec-18,I really wanted to like the Oceans Halo seaweed snacks. I figured the sea salt is a safe bet. They were just okay. I wasn't overly impressed. I tried them plain and then again added to a salad. They were better when added to my salad. I don't think I would purchase these.
3,Organic Seaweed Snacks Review,"Beth G.,",18-Nov-18,"The texture was very nice, it was very light and airy. I liked the thin crispness. The sea salt flavor was very salty in a really good way. The salt was very good. I would really like these, but I don't like the taste of nori. It tastes really fishy to me. The bacon flavor only seemed to add to the fishyness. The sea salt one starts out tasting really good, but then the salt melts away and if tastes like fish. These are almost good."
3,Organic Seaweed Snacks Review,"Asia G.,",24-Nov-18,"I was expecting something flavorful considering the flavors I've chosen, but I was sadly disappointed. I came into this testing with optimism and positivity, so I could give an open and honest review. It was either bland, not spicy enough, too salty or taste nothing like the flavor I chose. The healthy version of these snacks didn't meet my standards."
3,Organic Seaweed Snacks Review,"natasha B.,",25-Feb-19,I received a free sample of the new Ocean's Halo seaweed snack from #SocialNature to try and it wasn't for me some of my friends liked it and I still told people about them but the taste wasn't something I enjoyed everything is not for everyone I've always wanted to try seaweed for a while so I thought this would be perfect but I just don't like them the texture of them wasn't for me either but like I said but you might love them plus maybe it was just the flavor I got #TryNatural #GotItFree
